Date,RPmsoft,RPsandp,Dprod,Dinflation,Dterm,m1
1997m6,1.46992135,3.830171824,0.358799994,0.187285423,0.059999943,0
1997m7,10.79121876,7.091774464,0.486000001,-0.000155665,-0.299999952,0
1997m8,-7.158601761,-6.355786324,1.062100053,0.062053114,-0.370000005,0
1997m9,-0.340096086,4.748068333,0.707300007,0.061705917,0.309999943,0
1997m10,-2.183820248,-3.931104183,0.560299993,-0.000615731,-0.179999948,0
1997m11,8.03652668,3.922142029,0.73299998,-0.30973193,-0.350000024,0
1997m12,-9.494287491,1.121750474,0.295599997,-0.062015411,-0.050000012,0
1998m1,13.89721489,0.559897244,0.413100004,0.309731841,-0.23999998,1
1998m2,-56.98398972,6.375342846,0.074600004,-0.000344634,0.050000012,0
1998m3,5.019954681,4.440509796,0.055,-0.000343367,0.150000006,0
1998m4,0.262849033,0.476052582,0.320199996,-0.000342086,-0.070000023,0
1998m5,-6.493698597,-2.321397543,0.565500021,-0.000340834,0.219999999,0
1998m6,24.08795166,3.442206383,-0.495599985,-0.061670452,-0.23999998,0
1998m7,1.012513161,-1.594171405,-0.358900011,-0.000150546,-0.129999995,0
1998m8,-14.04367638,-16.18110657,1.783699989,-0.000150181,0.030000001,0
1998m9,13.32193375,5.644296646,-0.275999993,-0.000149816,-0.210000008,0
1998m10,-4.246374607,7.358340263,0.6796,0.121876188,-0.070000008,0
1998m11,13.8009119,5.364407063,-0.075599998,-0.244200364,0.190000013,0
1998m12,12.44785213,5.1101861,0.305700004,-0.060994208,-0.120000005,0
1999m1,22.87530708,3.63991642,0.387300014,0.304748118,0,1
1999m2,-15.70427227,-3.657342434,0.376800001,-0.122099407,0.180000007,0
1999m3,-51.97980881,3.418560028,0.187099993,0.18183586,0.400000006,0
1999m4,-10.10345078,3.351681709,0.202099994,0.421150476,0.039999962,0
1999m5,-1.150435805,-2.913746595,0.651000023,-0.724640846,0.060000002,0
1999m6,10.74038982,4.910824299,-0.169,0,0.290000021,0
1999m7,-5.37580061,-3.654581547,0.597500026,0.30039072,-0.019999981,0
1999m8,7.172152996,-1.027377844,0.372200012,-0.060726136,0.049999952,0
1999m9,-2.597780228,-3.310060024,-0.248699993,0.237948269,-0.139999986,0
1999m10,1.777780175,5.659510136,1.136500001,-0.299094498,0.029999971,0
1999m11,-2.072327614,1.460747242,0.449999988,-0.119082972,-0.169999957,0
1999m12,24.42177582,5.18244648,0.720399976,-0.059435368,0.040000021,0
2000m1,-18.09198189,-5.676981926,0.070799999,0.296648085,0.219999969,1
2000m2,-9.559668541,-2.505472898,0.345099986,0.29402107,-0.24000001,0
2000m3,16.81930923,8.750714302,0.36590001,0.230449855,-0.279999971,0
2000m4,-42.5769043,-3.617164373,0.575999975,-0.762724876,-0.560000002,0
2000m5,-11.37413216,-2.710869789,0.138999999,0.058291964,0.409999996,0
2000m6,24.10838699,1.883496404,0.053399999,0.406723052,0.019999981,0
2000m7,-14.12577057,-2.148458719,-0.214200005,-0.291659355,-0.479999989,0
2000m8,-0.520833313,5.371982098,-0.2465,-0.231749818,-0.270000011,0
2000m9,-15.15376663,-6.022462368,0.448599994,0.519481659,-0.280000001,0
2000m10,12.751441,-1.017011881,-0.416999996,-0.34691906,0.160000026,0
2000m11,-18.78415108,-8.877280235,-0.0114,-0.115107842,-0.230000019,0
2000m12,-28.49139786,-0.117147326,-0.294099987,-0.114909515,-0.079999983,0
2001m1,33.72668076,2.945857763,-0.66140002,0.687648773,0.199999988,1
2001m2,-3.85195446,-10.10310936,-0.550000012,-0.231219411,0.659999967,0
2001m3,-7.988156796,-7.038354397,-0.246399999,-0.171701774,-0.039999999,0
2001m4,21.07269096,7.059034348,-0.251800001,0.169215932,0.730000019,0
2001m5,1.766234398,0.185228765,-0.655799985,0.054724634,0.559999943,0
2001m6,5.068930626,-2.841248512,-0.59890002,-0.282531857,0.399999976,0
